tea,l7GQ-fR-DsA
teach,Brqv7-rpdTQ
teacher,Qy_q0sAucuw
team (sign 1),kqc7eglNJvE
team (sign 2),0REGTy6eqSc
technician (sign 1),ie88hOTzHTk
technician (sign 2),ZUL1-j2VL6w
taxi,nbJBh7lzl30
technology,IATnhKazi7g
[Private video],m9lpyg8UEMU
[Private video],NtnfUEDzoPo
television,J0Jx4BIuGn0
Telugu,iu7j255lYQU
temperature (meaning) (sign 1),TjSYqjfk-lc
temperature (meaning) (sign 2),mxOt9rKB_ak
temperature,TJeHXGVDCms
temple,rAUcd8-2e3Y
temporary (sign 1),vJy28p55lkQ
temporary (sign 2),Ujw6xa-mmZM
tennis,S0nGLXH4H5Y
mechanic (sign 1),i-W0qokTIeM
meat (sign 2),FhgAT_pNTIE
measurement,eBn_I264LVs
maximum,WNcSoq9M-FU
Mauritius,4imVoSmU5vc
maternal aunt,f--3Qilcxvs
material (sign 2),naUuqfBUvU8
material (sign 1),z7fqi4_fZvI
match (competition, sports),Lj9L7fUElLE
mason,7vVeFsNN7uA
Mary, Virgin Mary,975SGXvNf0M
marry, wed,Ov-hdZ4oacg
12 twelve,U4dnLRpeTN8
10 ten,eSFyfkFVTIU
10,000 ten thousand,4tKpSwmWzRc
13 thirteen,QXQ8ILhehkI
20 twenty,2iWRUv6eMls
21 twenty one,6wXGUZtHp5w
30 thirty,LOJcAGPKq50
tabla,esXJDDt2w7s
table tennis,-pH80nLq8FY
table, desk,YQflbkaOx2g
tailor (sign 1),DDusbrXIyaA
3 three,Sh3P9rHIKOM
2,000 two thousand,b_TvDsf97GY
2 two,MhHOduyqKv4
tailor (sign 2),46EMlBxuYAU
Taiwan,UNNkbxYzexA
Taj Hotel,DD9K1ojKj_k
Taj Mahal,lL9bFfJ9t9E
take a bath,Ah8zB8BQYek
take a long time at something (example),KmyrsfHCcPI
take a long time at something, take hours at something,q0NQtFrQljs
take a photo,_erfAmrdyIM
take,Cw13fIyVSNA
talk, chat,vYPkgKmRa6k
tall sign 1,63LBwsyLl5s
tall (sign 2),BvOKe8KiGPU
tall (sign 3),QF_QXmNelLk
tall (sign 4),fJyBgRTcBhA
Tamil (sign 1),HCLav_Tthvk
Tamil (sign 2),wMlY1TQZA2A
[Private video],hD6EdyqWw0c
Tanzania,ejX8KhT7JRY
tap, call,1Mh8DMTca88
tap,IGR8WsvfoXs
tape,tq85NQ0vOkA
taste,p_jV4LqTBws
TATA Car,qTKpCqiDQZI
TATA Mobile,816BojVf1nk
tattoo, inked,Srl_Gk0vjLE
1,000 thousand,RGDTXsCvZBQ
vote,eDr6D34kmcU
