word,videoId
A,DBQINq0SsAw
B,DBQINq0SsAw
C,DBQINq0SsAw
D,DBQINq0SsAw
E,DBQINq0SsAw
F,DBQINq0SsAw
G,DBQINq0SsAw
H,DBQINq0SsAw
I,DBQINq0SsAw
J,DBQINq0SsAw
K,DBQINq0SsAw
L,DBQINq0SsAw
M,DBQINq0SsAw
N,DBQINq0SsAw
O,DBQINq0SsAw
P,DBQINq0SsAw
Q,DBQINq0SsAw
R,DBQINq0SsAw
S,DBQINq0SsAw
T,DBQINq0SsAw
U,DBQINq0SsAw
V,DBQINq0SsAw
W,DBQINq0SsAw
X,DBQINq0SsAw
Y,DBQINq0SsAw
Z,DBQINq0SsAw
A,tkMg8g8vVUo
B,tkMg8g8vVUo
C,tkMg8g8vVUo
D,tkMg8g8vVUo
E,tkMg8g8vVUo
F,tkMg8g8vVUo
G,tkMg8g8vVUo
H,tkMg8g8vVUo
I,tkMg8g8vVUo
J,tkMg8g8vVUo
K,tkMg8g8vVUo
L,tkMg8g8vVUo
M,tkMg8g8vVUo
N,tkMg8g8vVUo
O,tkMg8g8vVUo
P,tkMg8g8vVUo
Q,tkMg8g8vVUo
R,tkMg8g8vVUo
S,tkMg8g8vVUo
T,tkMg8g8vVUo
U,tkMg8g8vVUo
V,tkMg8g8vVUo
W,tkMg8g8vVUo
X,tkMg8g8vVUo
Y,tkMg8g8vVUo
Z,tkMg8g8vVUo
